Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,clust
84674,0,32500,2500,2500,46335,14,50,1,6738,0
15098,0,32500,2500,2500,32917,26,550,3,6737,0
124198,0,50000,2500,2500,66330,23,4833,10,7710,0
67018,0,17500,2500,2500,23260,25,0,0,7698,0
205126,0,50000,2500,2500,126630,45,2250,10,7668,0
81974,0,32500,2500,2500,37266,18,1050,3,7661,0
47258,0,17500,2500,2500,24768,19,0,0,7659,0
77699,0,32500,2500,2500,42775,13,0,0,7654,0
103302,0,32500,2500,2500,53552,22,700,3,6718,0
15472,0,2500,2500,2500,3500,14,0,0,6715,0
41547,0,17500,2500,2500,16857,17,0,0,6697,0
50593,0,50000,2500,2500,58208,17,1500,2,6689,0
77097,0,32500,2500,2500,42403,22,1718,4,6683,0
48707,0,32500,2500,2500,37655,14,0,0,7631,0
44182,0,17500,2500,2500,12313,12,0,0,7619,0
120700,0,50000,2500,2500,55323,17,1500,1,7598,0
10302,0,32500,2500,2500,30298,19,0,0,7591,0
21694,0,32500,2500,2500,45230,20,700,2,7575,0
71767,0,50000,2500,2500,67335,13,0,0,7570,0
120941,0,32500,2500,2500,42301,21,0,0,7588,0
28086,1745,5000,2500,2500,7368,12,0,0,7549,0
8933,0,5000,2500,2500,8860,14,0,0,7533,0
49885,0,17500,2500,2500,23640,17,0,0,7533,0
123516,0,50000,2500,2500,240544,31,500,2,7507,0
32742,0,50000,2500,2500,61857,26,0,0,7488,0
8669,0,2500,17500,2500,11397,16,0,0,7486,0
118940,0,32500,2500,2500,36001,17,150,1,7484,0
41385,0,32500,2500,2500,26948,14,0,0,7481,0
28621,0,5000,2500,2500,13878,20,1400,10,7479,0
152881,0,50000,2500,2500,79687,18,500,1,7474,0
95989,0,50000,2500,2500,92159,30,1329,4,7518,0
27381,0,17500,2500,2500,18009,18,0,0,7524,0
201346,0,50000,2500,2500,99612,34,600,4,7463,0
8298,0,17500,2500,2500,20087,15,0,0,7498,0
119239,0,32500,2500,2500,36362,15,250,1,7467,0
153747,0,50000,2500,2500,58689,15,0,0,7409,0
81380,0,50000,2500,2500,56524,22,0,0,7404,0
22074,0,2500,2500,2500,6039,15,0,0,7404,0
24051,0,5000,2500,2500,8764,13,0,0,7395,0
11449,0,5000,2500,2500,9057,13,0,0,7397,0
30962,0,50000,2500,2500,97683,37,6400,18,7360,0
15525,0,2500,2500,2500,3853,6,0,0,7406,0
163530,0,50000,2500,2500,88987,25,0,0,7406,0
118934,0,50000,2500,2500,66222,37,2250,17,7354,0
12526,0,32500,2500,2500,56076,19,3850,11,7375,0
15221,0,2500,2500,2500,4425,9,0,0,7361,0
92875,0,50000,2500,2500,60990,14,0,0,7344,0
45225,0,17500,2500,2500,14711,15,0,0,7339,0
25279,0,5000,2500,2500,14938,26,0,0,7327,0
58703,0,32500,2500,2500,46473,34,950,4,7296,0
70354,0,50000,2500,2500,120907,22,0,0,7290,0
121639,0,50000,2500,2500,67286,7,0,0,7288,0
70676,0,50000,2500,2500,74993,15,0,0,7288,0
22652,0,50000,2500,2500,57642,14,0,0,7271,0
44873,0,32500,2500,2500,38740,18,850,2,7267,0
79211,0,32500,2500,2500,36776,14,0,0,7260,0
98006,0,32500,2500,2500,46349,20,2309,3,7332,0
33982,0,50000,2500,2500,68320,17,0,0,7255,0
137908,0,50000,2500,2500,57713,19,0,0,7250,0
45586,0,32500,2500,2500,37459,15,0,0,7246,0
145993,0,50000,2500,2500,95082,17,500,1,7229,0
58139,500,32500,2500,2500,38408,16,150,1,7227,0
7061,0,2500,2500,2500,7100,12,0,0,7218,0
94222,0,32500,2500,2500,52081,24,0,0,7201,0
20746,0,32500,2500,2500,37534,17,0,0,7185,0
61455,0,32500,2500,2500,28765,17,0,0,7183,0
20457,0,32500,2500,2500,51399,16,0,0,7193,0
50325,0,17500,2500,2500,11930,14,0,0,7155,0
138999,0,50000,2500,2500,63738,29,600,4,7153,0
172288,0,50000,2500,2500,66879,10,0,0,7130,0
105166,1374,32500,2500,2500,37663,22,0,0,7120,0
55788,0,17500,2500,2500,24831,12,0,0,7314,0
174910,0,32500,2500,2500,63960,20,200,1,7110,0
13812,0,5000,2500,2500,15149,39,0,0,7110,0
66863,0,32500,2500,2500,36532,9,0,0,7099,0
41279,0,17500,2500,2500,14462,20,1650,6,7064,0
25313,0,5000,2500,2500,7491,13,0,0,7064,0
22080,0,2500,2500,2500,12200,47,1950,9,7050,0
161813,0,50000,2500,2500,126941,20,0,0,7026,0
95656,0,50000,2500,2500,62666,27,0,0,7019,0
15113,0,5000,2500,2500,10574,19,0,0,7017,0
231,0,2500,2500,2500,29900,24,5300,15,7015,0
76150,0,32500,2500,2500,36907,17,0,0,6998,0
377252,0,50000,2500,2500,230629,30,6393,13,6996,0
86853,0,32500,2500,2500,42293,21,500,1,6980,0
28193,0,50000,2500,32500,103456,32,0,0,6980,0
35969,0,5000,2500,2500,11665,21,0,0,6977,0
53790,0,32500,2500,2500,28717,19,0,0,8296,0
54842,0,17500,2500,2500,20792,15,0,0,8296,0
11189,0,2500,5000,2500,9044,20,0,0,8296,0
145723,0,50000,2500,2500,59858,16,0,0,8296,0
68963,0,32500,2500,2500,37723,15,0,0,8296,0
109640,0,32500,2500,2500,66983,38,5500,17,8296,0
68286,0,17500,2500,2500,22831,13,0,0,8296,0
21083,0,50000,2500,2500,129330,16,1000,2,8296,0
117860,0,50000,2500,2500,62758,15,0,0,8296,0
78028,0,32500,2500,2500,36269,24,0,0,8289,0
153597,0,50000,2500,2500,56567,18,0,0,8289,0
96031,0,32500,2500,2500,46588,21,0,0,8289,0
353678,0,32500,2500,2500,141230,28,1450,5,8289,0
50052,0,32500,2500,2500,49383,13,0,0,8289,0
24038,0,5000,2500,2500,6290,14,0,0,8289,0
34170,0,17500,2500,2500,15476,20,150,1,8289,0
43285,0,32500,2500,2500,28613,14,0,0,8252,0
52980,0,17500,2500,2500,17078,14,0,0,8237,0
26080,0,5000,2500,2500,9872,13,0,0,8228,0
382546,0,50000,2500,2500,136619,34,3000,6,8228,0
43954,0,50000,2500,2500,63463,13,250,1,8228,0
52005,0,17500,2500,2500,11870,15,100,1,8228,0
40645,0,17500,2500,2500,18348,13,0,0,8067,0
82655,0,50000,2500,2500,101101,19,700,2,8057,0
10879,0,50000,2500,2500,78186,32,3400,12,7981,0
122904,0,32500,2500,2500,37380,21,1300,4,7956,0
162521,0,50000,2500,2500,57354,25,0,0,8105,0
86112,0,32500,2500,2500,35528,22,0,0,8105,0
217557,0,50000,2500,2500,97584,19,550,2,6679,0
143200,0,50000,2500,2500,79837,28,50,1,6667,0
9800,589,2500,2500,2500,10348,34,3000,25,6651,0
76933,0,32500,2500,2500,28075,17,0,0,6646,0
22878,0,2500,2500,2500,9039,32,0,0,6641,0
66741,2880,50000,2500,2500,71921,30,2600,7,6638,0
3305,0,2500,2500,2500,31465,24,1700,10,6633,0
28930,0,2500,2500,2500,8185,17,0,0,6630,0
58951,0,32500,2500,2500,47994,15,500,1,6625,0
52423,0,32500,2500,2500,26926,13,0,0,6611,0
26858,500,32500,2500,2500,34308,17,900,3,6606,0
5410,0,32500,2500,2500,45890,22,0,0,6603,0
18177,0,17500,2500,2500,12040,12,0,0,6690,0
98472,1776,50000,2500,2500,124421,45,10250,28,6621,0
86520,3445,50000,2500,2500,64450,20,1000,2,6592,0
267404,0,50000,2500,2500,263685,51,3000,6,6584,0
31478,0,17500,2500,2500,18885,18,0,0,6578,0
17445,0,2500,2500,2500,4500,3,500,1,6576,0
49052,0,32500,2500,2500,46718,17,0,0,6575,0
153962,0,50000,2500,2500,90992,21,0,0,6567,0
63311,0,32500,2500,2500,25048,14,0,0,6634,0
13873,0,2500,2500,2500,4833,20,0,0,6519,0
40418,0,17500,2500,2500,12678,12,0,0,6541,0
71235,0,32500,2500,2500,41004,14,0,0,6535,0
76446,0,50000,2500,2500,63811,17,0,0,6550,0
35738,0,32500,2500,2500,41264,16,0,0,6526,0
65672,0,32500,2500,2500,29089,13,0,0,6529,0
99293,0,50000,2500,2500,81040,23,1000,2,6508,0
20126,0,50000,2500,2500,78999,28,800,3,6506,0
117670,0,50000,2500,2500,53043,19,550,1,6505,0
89742,0,32500,2500,2500,39073,13,0,0,6498,0
37904,0,17500,2500,2500,19052,17,0,0,6487,0
41243,0,32500,2500,2500,27971,7,300,1,6483,0
54011,1604,17500,2500,2500,38380,20,5780,4,6487,0
48127,0,32500,2500,2500,41447,28,0,0,6421,0
34540,0,32500,2500,2500,27882,13,0,0,6494,0
117623,0,50000,2500,2500,86582,26,1000,6,6477,0
7216,0,17500,2500,2500,21419,18,0,0,6470,0
45830,0,5000,2500,2500,23404,10,0,0,6459,0
46142,0,17500,2500,2500,14445,13,0,0,6452,0
110277,0,32500,2500,2500,37110,18,1500,3,6445,0
54125,0,32500,2500,2500,48874,17,450,3,6463,0
29861,0,32500,2500,2500,28190,15,0,0,6407,0
33554,0,32500,2500,2500,27410,16,350,1,6428,0
415070,588,50000,2500,2500,153183,41,3802,20,6423,0
18111,0,2500,2500,2500,4625,26,0,0,6463,0
32010,0,2500,2500,2500,12315,6,650,2,6421,0
77285,0,50000,2500,2500,63841,32,0,0,6417,0
25835,0,17500,2500,2500,15153,15,0,0,6142,0
48410,0,32500,2500,2500,37869,16,500,1,6395,0
11821,0,2500,2500,2500,10697,10,0,0,6387,0
37039,0,32500,2500,2500,29976,18,0,0,6375,0
109532,0,50000,2500,2500,128048,53,7939,26,6372,0
65823,0,32500,2500,2500,28208,19,300,3,6373,0
10491,0,2500,2500,2500,5025,11,150,1,6357,0
45501,0,32500,2500,2500,49656,17,316,1,6375,0
89668,0,32500,2500,2500,29130,14,0,0,6350,0
22268,0,17500,2500,2500,23582,15,200,1,6339,0
9601,0,17500,2500,2500,20467,16,0,0,6338,0
173543,0,50000,2500,2500,92752,25,0,0,6329,0
47780,0,50000,2500,2500,88773,20,250,2,6329,0
81960,0,32500,2500,2500,37072,22,700,7,6326,0
105683,0,32500,2500,2500,28386,17,0,0,6361,0
17334,0,2500,2500,2500,6783,27,50,1,6318,0
242910,1115,50000,2500,2500,103935,18,500,1,6296,0
48161,0,32500,2500,2500,41174,24,0,0,6294,0
13114,0,5000,2500,2500,14029,13,0,0,6289,0
117120,0,32500,2500,2500,41278,17,500,1,6288,0
52987,0,17500,2500,2500,17510,15,0,0,6289,0
19002,0,17500,2500,2500,22675,21,0,0,6277,0
60976,0,50000,2500,2500,97318,31,7000,14,6282,0
64280,0,17500,2500,2500,21721,18,0,0,6280,0
14523,0,2500,2500,2500,4197,4,0,0,6276,0
151904,733,50000,2500,2500,76440,25,950,8,6273,0
13781,0,32500,2500,2500,48914,19,500,1,6269,0
40567,0,17500,2500,2500,18122,16,0,0,6268,0
43090,0,17500,2500,2500,11411,10,0,0,6259,0
16472,0,32500,2500,2500,45517,12,0,0,6262,0
86285,0,50000,2500,2500,61274,14,0,0,6249,0
138411,0,50000,2500,2500,53843,14,0,0,6247,0
52050,0,32500,2500,2500,43190,14,0,0,6245,0
189423,0,50000,2500,2500,63584,31,600,1,6476,0
33374,0,17500,2500,2500,20441,13,0,0,6214,0
76737,0,32500,2500,2500,34648,31,0,0,6211,0
20999,0,17500,2500,2500,15914,13,0,0,6206,0
43179,0,17500,2500,2500,11915,6,0,0,6214,0
21334,0,2500,2500,2500,5472,20,0,0,6200,0
104307,0,32500,2500,2500,51769,24,450,1,6197,0
34357,0,50000,2500,2500,73622,25,100,1,6198,0
13144,0,17500,2500,2500,18615,18,0,0,6196,0
10978,0,17500,2500,2500,14313,11,0,0,6193,0
32356,0,17500,2500,2500,22918,19,0,0,6571,0
44247,948,32500,2500,2500,40939,26,0,0,6184,0
15088,0,2500,2500,2500,5625,15,0,0,6177,0
152539,0,50000,2500,2500,65972,14,0,0,6187,0
102339,0,32500,2500,2500,47498,19,0,0,6156,0
105249,0,32500,2500,2500,36093,15,0,0,6153,0
74645,0,32500,2500,2500,40367,18,0,0,6147,0
26939,0,32500,2500,2500,29264,15,0,0,6148,0
207655,500,50000,2500,2500,78967,31,0,0,6144,0
74924,6286,32500,2500,2500,59650,13,0,0,6141,0
42044,2253,17500,2500,2500,11433,10,0,0,6140,0
83105,0,32500,2500,2500,65077,28,753,3,6137,0
59546,0,17500,2500,2500,20730,4,0,0,6135,0
58229,0,50000,2500,2500,53108,16,500,1,6137,0
97349,0,32500,2500,2500,42774,14,0,0,6128,0
131424,0,50000,2500,2500,58814,14,50,1,6128,0
24011,0,5000,2500,2500,20442,9,0,0,6123,0
3268,0,32500,2500,2500,52263,32,0,0,6120,0
78130,0,32500,2500,2500,37251,15,900,2,6120,0
25333,0,17500,2500,2500,11229,16,300,2,6099,0
54522,0,17500,2500,2500,21221,45,2500,5,6125,0
75413,0,32500,2500,2500,31726,18,0,0,6094,0
18932,0,17500,2500,2500,24660,22,0,0,6091,0
35997,0,50000,2500,2500,71171,19,900,5,6088,0
77109,0,50000,2500,2500,60000,7,0,0,6071,0
96387,0,32500,2500,2500,43512,20,0,0,6065,0
73836,0,50000,2500,2500,64748,19,0,0,6087,0
56268,0,32500,2500,2500,33447,14,100,1,6017,0
25629,0,32500,2500,50000,107308,36,600,2,5966,0
70774,0,17500,2500,2500,32635,31,1400,14,5931,0
51843,0,32500,2500,2500,40997,17,0,0,5859,0
84868,0,32500,2500,2500,33187,15,0,0,6057,0
70380,0,50000,2500,2500,74399,12,0,0,6050,0
56606,3818,32500,2500,2500,61634,14,100,1,6039,0
38763,0,32500,2500,2500,34652,13,0,0,6037,0
16430,0,5000,2500,2500,8528,12,0,0,6036,0
19348,0,17500,2500,2500,17059,19,0,0,6022,0
31669,0,5000,2500,2500,8384,15,0,0,6018,0
21461,0,17500,2500,2500,40806,28,0,0,6011,0
28979,0,5000,2500,2500,6494,12,0,0,6010,0
20665,0,17500,2500,2500,19947,16,0,0,5997,0
91736,0,32500,2500,2500,26724,14,0,0,5994,0
149959,0,50000,2500,2500,85844,51,1400,4,5986,0
38312,0,32500,2500,2500,37419,14,0,0,5980,0
129412,0,50000,2500,2500,62510,21,0,0,5982,0
15835,0,5000,2500,50000,112171,16,0,0,5825,0
289351,0,50000,2500,2500,147787,35,500,1,5789,0
111072,0,32500,2500,2500,50533,19,350,1,5541,0
212051,0,50000,2500,2500,76256,23,2993,6,5523,0
54148,0,32500,2500,2500,40233,14,350,1,5949,0
219387,0,50000,2500,2500,105913,21,150,2,5951,0
22988,0,5000,2500,2500,9347,14,1200,4,5944,0
124030,0,50000,2500,2500,61599,16,0,0,5934,0
29125,0,17500,2500,2500,10930,14,0,0,5945,0
83848,0,32500,2500,2500,28202,14,0,0,5927,0
133264,0,50000,2500,2500,74067,21,0,0,5926,0
39233,0,32500,2500,2500,27545,13,0,0,5920,0
13050,0,17500,2500,2500,13617,16,0,0,5920,0
44824,0,2500,17500,2500,21107,19,2000,4,5916,0
44293,0,17500,2500,2500,21920,21,100,1,5913,0
40757,0,17500,2500,2500,14002,11,0,0,5912,0
226826,0,50000,2500,2500,91660,21,500,1,5906,0
38150,0,17500,2500,2500,16688,15,0,0,5854,0
30638,0,17500,2500,2500,48963,16,0,0,5696,0
55997,0,50000,2500,2500,68320,23,0,0,5899,0
13375,4301,32500,2500,2500,15732,43,9200,28,5916,0
8651,0,32500,2500,2500,41586,22,950,5,5882,0
26367,0,17500,2500,2500,19649,15,0,0,5874,0
2843,0,32500,2500,2500,44130,35,7450,20,5869,0
20702,0,32500,2500,2500,30451,24,1100,5,5856,0
24917,0,17500,2500,2500,16239,13,150,1,5857,0
132910,0,50000,2500,2500,75540,46,250,1,5856,0
38964,0,17500,2500,2500,35166,26,3200,8,5553,0
131554,0,50000,2500,2500,64937,15,0,0,5428,0
55661,0,17500,2500,2500,15107,13,0,0,5387,0
84949,0,32500,2500,2500,41854,15,0,0,5336,0
37252,0,17500,2500,2500,15774,19,0,0,5842,0
21101,0,2500,2500,2500,7171,32,0,0,5839,0
80612,0,32500,2500,2500,32334,20,0,0,5839,0
45542,0,50000,2500,2500,59012,14,0,0,5835,0
141491,0,50000,2500,2500,63060,6,0,0,5827,0
49430,0,32500,2500,2500,31471,16,0,0,5822,0
25463,0,5000,2500,2500,7973,14,0,0,5813,0
85036,0,32500,2500,2500,43825,21,0,0,5807,0
11449,0,2500,2500,2500,24415,11,0,0,5864,0
9489,0,2500,2500,2500,5359,14,0,0,5807,0
39985,0,17500,2500,2500,15103,21,0,0,5794,0
66015,0,5000,2500,2500,26706,30,2676,7,5790,0
37618,0,17500,2500,2500,17385,7,0,0,5818,0
53384,0,17500,2500,2500,16907,12,0,0,5778,0
77930,0,32500,2500,2500,37541,35,3600,18,5773,0
27625,0,17500,2500,2500,27799,16,500,1,5772,0
154664,0,32500,2500,17500,73881,33,0,0,5769,0
36935,0,32500,2500,2500,34448,17,0,0,5766,0
98213,0,50000,2500,2500,68013,29,0,0,5755,0
9430,0,17500,2500,2500,11323,13,0,0,5756,0
5195,0,2500,2500,2500,33050,3,50,1,5755,0
34690,0,17500,2500,2500,18124,14,0,0,5752,0
138368,0,50000,2500,2500,68663,13,0,0,5755,0
63547,0,32500,2500,2500,31745,14,0,0,5748,0
62183,1896,32500,2500,2500,38635,18,0,0,5738,0
165534,0,50000,2500,2500,71312,18,1000,2,5736,0
45358,0,17500,2500,2500,14507,9,0,0,5735,0
72325,0,50000,2500,2500,56792,16,0,0,5731,0
190285,0,50000,2500,2500,69262,16,348,1,5728,0
42040,1000,2500,2500,2500,14189,17,4034,13,5717,0
39313,0,17500,2500,2500,24091,16,0,0,5706,0
468,0,2500,2500,2500,26650,14,550,3,5708,0
42999,0,32500,2500,2500,33801,12,350,1,5653,0
37163,0,17500,2500,2500,19318,14,0,0,4988,0
6158,0,32500,2500,2500,27754,14,0,0,5546,0
35342,0,50000,2500,2500,70454,12,0,0,5534,0
34383,0,17500,2500,2500,22956,12,0,0,5611,0
47150,0,32500,2500,2500,39561,18,0,0,5577,0
75684,0,5000,2500,2500,27320,9,0,0,5316,0
17645,0,32500,2500,2500,60978,20,0,0,5660,0
103891,1388,50000,2500,2500,140573,21,1150,3,5699,0
39847,0,50000,2500,2500,95918,38,150,1,5694,0
47938,0,17500,2500,2500,12656,13,0,0,5708,0
88929,0,32500,2500,2500,44932,20,650,2,5694,0
129866,0,50000,2500,2500,66150,30,0,0,5692,0
47394,0,5000,2500,2500,31347,19,2150,5,5688,0
295008,0,50000,2500,2500,136704,27,0,0,5028,0
117543,4116,32500,2500,2500,32355,21,600,2,4954,0
102803,0,50000,2500,2500,90605,20,0,0,5701,0
82078,0,32500,2500,2500,40279,9,0,0,5664,0
27591,0,2500,2500,2500,8209,34,1800,16,5659,0
82114,0,50000,2500,2500,58335,15,0,0,5658,0
15917,2586,50000,2500,2500,105449,25,200,2,5653,0
28223,0,5000,2500,2500,8625,12,0,0,5651,0
33129,0,17500,2500,2500,30775,14,500,1,5647,0
52819,0,32500,2500,2500,37535,15,1000,2,5645,0
3507,1745,2500,2500,2500,14500,7,0,0,5643,0
115655,0,32500,2500,2500,64968,21,500,1,5631,0
24418,0,5000,2500,2500,12533,13,0,0,5626,0
48803,0,50000,2500,2500,72129,14,0,0,5107,0
22116,0,17500,2500,2500,20809,14,0,0,5463,0
36079,0,17500,2500,2500,22506,22,150,1,5323,0
16872,0,2500,2500,2500,28964,7,0,0,5479,0
7383,0,2500,2500,2500,7225,11,2750,7,5238,0
2261,0,2500,2500,2500,15062,2,0,0,5556,0
48775,0,17500,2500,2500,17494,15,0,0,5588,0
81952,0,50000,2500,2500,64754,22,0,0,5427,0
46535,0,17500,2500,2500,25891,14,150,1,5399,0
139664,0,50000,2500,2500,63706,14,0,0,5505,0
59385,0,17500,2500,2500,22914,11,0,0,5476,0
210040,0,50000,2500,2500,77333,39,0,0,5517,0
23379,0,5000,2500,2500,11712,25,0,0,5499,0
22372,0,17500,2500,2500,14766,12,0,0,4950,0
94896,0,32500,2500,2500,38127,15,500,1,5602,0
12091,0,32500,2500,2500,29271,15,0,0,5609,0
4137,0,17500,2500,2500,15891,19,0,0,5588,0
21676,0,17500,2500,2500,15392,15,100,1,5584,0
36644,0,17500,2500,2500,14506,13,0,0,5583,0
32214,11148,17500,2500,2500,12717,10,0,0,5576,0
42351,0,32500,2500,2500,28959,14,0,0,5594,0
34450,0,2500,2500,2500,26996,7,0,0,5566,0
60646,888,50000,2500,2500,57011,18,50,1,5559,0
67770,0,17500,2500,2500,23960,15,0,0,5539,0
30554,0,32500,2500,2500,38243,25,0,0,5324,0
17489,0,2500,2500,2500,5565,4,0,0,5380,0
56480,0,32500,2500,2500,35841,31,500,1,5401,0
104442,0,32500,2500,2500,38180,23,1450,5,5029,0
34086,0,17500,2500,2500,19669,18,1500,3,5344,0
26748,0,17500,2500,2500,11981,14,0,0,5408,0
57509,0,32500,2500,2500,52449,19,150,1,5441,0
83572,745,50000,2500,2500,101110,27,1700,5,5231,0
28205,0,50000,2500,2500,101685,16,0,0,5267,0
7239,0,17500,2500,2500,15835,15,0,0,5343,0
10179,0,5000,2500,2500,5321,15,0,0,4989,0
23786,0,2500,2500,2500,16950,4,0,0,5364,0
13522,0,2500,2500,2500,5000,1,0,0,5162,0
50016,0,17500,2500,2500,13495,14,0,0,4548,0
23696,0,5000,2500,2500,5577,10,0,0,5531,0
166465,0,32500,2500,32500,98717,30,0,0,5531,0
49288,0,17500,2500,2500,12538,19,600,2,5353,0
26325,0,5000,2500,2500,14559,20,1310,2,5521,0
28553,0,17500,2500,2500,13844,5,0,0,5517,0
70565,2408,2500,2500,2500,25261,15,750,2,5499,0
71736,0,50000,2500,2500,53602,25,50,1,5485,0
37926,0,17500,2500,2500,25153,7,0,0,5845,0
58628,0,17500,2500,2500,22581,13,0,0,5471,0
11494,0,2500,2500,2500,8425,15,4700,11,5487,0
92402,0,32500,2500,2500,40825,14,0,0,5443,0
59113,0,32500,2500,2500,46808,32,0,0,5435,0
24608,0,50000,2500,2500,62774,21,0,0,5430,0
16103,0,2500,17500,2500,10819,13,0,0,5427,0
88177,0,50000,2500,2500,53468,19,400,1,5080,0
11542,0,32500,2500,2500,49100,16,1500,3,5405,0
41648,0,32500,2500,2500,32117,35,2200,5,5408,0
39908,0,32500,2500,2500,45824,29,0,0,5394,0
103796,0,50000,2500,2500,63335,26,250,1,5021,0
21599,0,5000,2500,2500,5561,13,0,0,5302,0
60936,0,50000,2500,2500,56381,17,0,0,5051,0
157416,0,50000,2500,2500,67795,16,0,0,5132,0
15719,0,5000,2500,2500,5740,13,0,0,4974,0
8836,0,2500,2500,2500,4788,6,808,3,4544,0
94875,0,50000,2500,2500,58314,25,800,7,4736,0
27243,0,5000,2500,2500,6785,12,0,0,4606,0
71784,0,32500,2500,2500,39276,20,0,0,4936,0
40994,0,32500,2500,2500,26916,15,500,1,5078,0
152284,0,50000,2500,2500,77045,38,1648,10,4996,0
63454,0,32500,2500,2500,49068,13,0,0,5383,0
24292,0,5000,2500,2500,6558,10,0,0,5276,0
60168,0,32500,2500,2500,44133,16,0,0,4313,0
30130,0,5000,2500,2500,9192,15,0,0,4993,0
12665,0,2500,2500,2500,4125,24,0,0,4539,0
5667,0,2500,2500,2500,5667,4,0,0,4937,0
128664,8019,32500,2500,2500,44298,16,50,1,5155,0
42572,0,17500,2500,2500,21809,14,100,1,5070,0
39946,0,17500,2500,2500,16951,14,0,0,5282,0
92859,0,32500,2500,2500,33378,15,0,0,5185,0
25158,0,50000,2500,2500,52278,17,0,0,5079,0
23890,0,32500,2500,2500,35574,19,0,0,5031,0
16125,0,17500,2500,2500,23288,17,0,0,5210,0
195754,0,50000,2500,2500,98535,40,2550,9,5202,0
21582,0,17500,2500,2500,10811,15,0,0,4695,0
86011,0,32500,2500,2500,31769,18,0,0,5381,0
17587,0,2500,2500,2500,17587,7,0,0,5367,0
91670,0,32500,2500,2500,48193,17,1000,2,5365,0
92800,0,50000,2500,2500,62042,23,350,1,5358,0
31134,0,17500,2500,2500,20108,17,0,0,5352,0
66516,0,32500,2500,2500,45406,16,200,1,5311,0
18154,0,2500,5000,2500,7748,16,0,0,5310,0
14345,0,32500,2500,2500,50752,16,0,0,5487,0
43603,0,2500,2500,2500,17100,4,100,1,5335,0
14525,0,2500,2500,2500,4625,28,0,0,5317,0
26156,0,17500,2500,2500,23831,16,0,0,5297,0
30892,0,17500,2500,2500,11474,11,0,0,5283,0
29263,0,17500,2500,2500,15184,13,0,0,5279,0
25089,0,32500,2500,2500,40763,19,550,2,5259,0
77709,0,32500,2500,2500,36028,19,100,2,5253,0
22533,1000,32500,2500,2500,22206,17,100,1,5248,0
25302,0,17500,2500,2500,11312,13,0,0,5245,0
8723,0,50000,2500,2500,77923,15,0,0,5231,0
130364,0,50000,2500,2500,62083,15,250,1,5213,0
15592,4924,32500,2500,2500,37173,13,0,0,5209,0
32313,0,32500,2500,2500,29188,27,0,0,5397,0
68891,1697,32500,2500,2500,37257,14,500,1,5178,0
137134,0,50000,2500,2500,92740,20,0,0,5170,0
22093,0,17500,2500,2500,14857,11,200,1,2587,0
58538,1739,32500,2500,2500,48670,19,500,2,4352,0
62569,0,32500,2500,2500,33765,19,50,1,4888,0
20982,0,32500,2500,2500,44238,18,0,0,4716,0
170309,0,50000,2500,2500,66546,20,4130,4,5009,0
61919,0,32500,2500,2500,39163,14,350,1,5157,0
161321,0,50000,2500,2500,59645,21,0,0,5147,0
29342,0,5000,2500,2500,5835,4,0,0,5153,0
28228,0,17500,2500,2500,12948,13,300,1,5108,0
118601,0,50000,2500,2500,51240,19,0,0,5105,0
24660,0,5000,2500,2500,7206,14,0,0,5136,0
