,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,clust
93,143566,0,2500,2500,2500,5000,5,1500,3,6785,2
94,185549,0,50000,2500,2500,110859,39,2950,16,6778,1
95,16796,0,2500,2500,2500,2875,16,0,0,6773,2
96,57346,0,2500,2500,2500,5560,23,0,0,6766,2
97,102062,0,32500,2500,2500,44247,16,0,0,6758,1
98,22324,0,2500,2500,2500,1375,4,0,0,6753,2
99,64824,0,17500,2500,2500,20184,13,0,0,6770,2
100,25076,1182,50000,2500,2500,57203,14,0,0,6750,1
101,8053,0,2500,2500,2500,0,0,0,0,6750,2
102,35119,0,2500,2500,2500,0,0,0,0,6749,2
103,28667,0,2500,2500,2500,3861,7,2050,5,6749,2
104,34327,0,2500,2500,2500,0,0,0,0,6745,2
105,3734,0,50000,2500,2500,61096,18,150,2,6760,1
106,96627,1182,2500,2500,17500,49059,26,2300,9,6738,2
107,43498,0,2500,2500,2500,0,0,0,0,6759,2
108,84674,0,32500,2500,2500,46335,14,50,1,6738,1
109,15098,0,32500,2500,2500,32917,26,550,3,6737,1
110,181019,0,17500,2500,2500,18415,15,0,0,7714,2
111,298911,0,2500,2500,2500,8550,11,2550,8,7714,2
112,124198,0,50000,2500,2500,66330,23,4833,10,7710,1
113,56906,0,2500,2500,2500,2015,13,0,0,7707,2
114,295638,0,2500,2500,2500,5422,20,818,2,7700,2
115,67018,0,17500,2500,2500,23260,25,0,0,7698,2
116,143967,0,5000,2500,2500,7346,11,0,0,7689,2
117,969559,0,2500,2500,2500,2500,3,1000,2,7718,2
118,122705,0,17500,2500,2500,24222,15,0,0,7682,2
119,16583,0,2500,2500,2500,2625,7,0,0,7682,2
120,77540,0,2500,2500,2500,1000,1,0,0,7683,2
121,205126,0,50000,2500,2500,126630,45,2250,10,7668,1
122,81974,0,32500,2500,2500,37266,18,1050,3,7661,1
123,47258,0,17500,2500,2500,24768,19,0,0,7659,2
124,77699,0,32500,2500,2500,42775,13,0,0,7654,1
125,133954,500,32500,2500,2500,37670,18,1500,3,7654,1
126,602064,0,50000,2500,2500,194753,26,2250,10,7652,1
127,213150,0,32500,2500,2500,56308,41,5200,14,7645,1
128,48333,0,5000,2500,2500,10123,14,0,0,6737,2
129,142175,0,32500,2500,2500,37461,22,0,0,6732,1
130,17469,0,2500,2500,2500,0,0,0,0,6730,2
131,19823,0,2500,2500,2500,1095,3,335,1,6730,2
132,145074,0,2500,2500,2500,8000,4,0,0,6746,2
133,101101,0,2500,2500,2500,10850,11,1850,6,6725,2
134,125948,0,17500,2500,2500,15155,15,0,0,6761,2
135,259484,1776,2500,2500,2500,19172,26,7172,23,6723,2
136,129298,0,32500,2500,2500,29099,15,0,0,6722,1
137,103302,0,32500,2500,2500,53552,22,700,3,6718,1
138,160447,0,2500,2500,2500,8578,25,0,0,6716,2
139,15472,0,2500,2500,2500,3500,14,0,0,6715,2
140,39628,0,2500,2500,2500,0,0,0,0,6711,2
141,6112,0,2500,2500,2500,0,0,0,0,6709,2
142,31769,0,2500,2500,2500,450,2,450,2,6707,2
143,126787,0,32500,2500,2500,35021,17,0,0,6701,1
144,41547,0,17500,2500,2500,16857,17,0,0,6697,2
145,100640,0,2500,2500,2500,7600,8,1600,5,6708,2
146,18707,0,2500,2500,2500,100,1,0,0,6693,2
147,50593,0,50000,2500,2500,58208,17,1500,2,6689,1
148,84631,0,17500,2500,2500,20415,17,0,0,6736,2
149,24868,0,2500,2500,2500,205,5,0,0,6689,2
150,77097,0,32500,2500,2500,42403,22,1718,4,6683,1
151,930410,0,50000,2500,2500,211284,18,2250,6,7640,1
152,298121,0,50000,2500,2500,60808,20,500,1,7640,1
153,87474,0,2500,2500,2500,4581,15,0,0,7634,2
154,48707,0,32500,2500,2500,37655,14,0,0,7631,1
155,220081,0,32500,2500,2500,52574,21,500,1,7626,1
156,212976,0,17500,2500,2500,19926,12,0,0,7624,2
157,44182,0,17500,2500,2500,12313,12,0,0,7619,2
158,228829,0,50000,2500,2500,59852,21,0,0,7612,1
159,46823,0,2500,2500,2500,5860,12,0,0,7613,2
160,69110,0,17500,2500,2500,18500,19,0,0,7598,2
161,120700,0,50000,2500,2500,55323,17,1500,1,7598,1
162,152945,0,2500,2500,2500,18604,6,3604,2,7598,2
163,10302,0,32500,2500,2500,30298,19,0,0,7591,1
164,80331,0,17500,2500,2500,15489,18,0,0,7634,2
165,69882,0,2500,2500,2500,180,6,0,0,7582,2
166,95658,0,2500,2500,2500,5269,18,0,0,7584,2
167,402874,0,50000,2500,2500,74800,15,0,0,7582,1
168,370941,0,32500,2500,2500,44615,16,0,0,7577,1
169,21694,0,32500,2500,2500,45230,20,700,2,7575,1
170,71767,0,50000,2500,2500,67335,13,0,0,7570,1
171,35820,0,2500,2500,2500,0,0,0,0,7575,2
172,352508,0,17500,2500,2500,23740,6,1000,2,7563,2
173,149285,0,2500,2500,2500,15656,13,3250,6,7561,2
174,120941,0,32500,2500,2500,42301,21,0,0,7588,1
175,451673,0,32500,2500,2500,43533,19,900,4,7575,1
176,106961,0,2500,2500,2500,7357,19,200,2,7572,2
177,28086,1745,5000,2500,2500,7368,12,0,0,7549,2
178,60230,0,2500,2500,2500,500,1,0,0,7544,2
179,6663,0,2500,2500,2500,1125,7,750,4,7575,2
180,48145,0,2500,2500,2500,10735,27,0,0,7540,2
181,127807,0,17500,2500,2500,17086,16,1500,3,7537,2
182,32948,0,2500,2500,2500,50,1,50,1,7569,2
183,8933,0,5000,2500,2500,8860,14,0,0,7533,2
184,49885,0,17500,2500,2500,23640,17,0,0,7533,2
185,89999,0,17500,2500,2500,11694,13,0,0,7530,2
186,707079,0,32500,2500,2500,57173,40,3450,12,7523,1
187,211595,0,2500,2500,2500,3250,8,0,0,7521,2
188,410795,0,50000,2500,2500,73679,31,0,0,7514,1
189,72173,0,2500,2500,2500,2954,13,232,1,7509,2
190,123516,0,50000,2500,2500,240544,31,500,2,7507,1
191,143080,733,32500,2500,2500,44373,38,3928,17,7575,1
192,386061,0,50000,2500,2500,107813,24,0,0,7500,1
193,52738,2398,2500,2500,2500,0,0,0,0,7498,2
194,24523,0,2500,2500,2500,100,1,0,0,7493,2
195,134601,0,2500,2500,2500,0,0,0,0,7493,2
196,32742,0,50000,2500,2500,61857,26,0,0,7488,1
197,108341,0,17500,2500,2500,19670,21,0,0,7488,2
198,8669,0,2500,17500,2500,11397,16,0,0,7486,2
199,118940,0,32500,2500,2500,36001,17,150,1,7484,1
200,41385,0,32500,2500,2500,26948,14,0,0,7481,1
201,28621,0,5000,2500,2500,13878,20,1400,10,7479,2
202,16230,0,2500,2500,2500,486,2,0,0,7477,2
203,152881,0,50000,2500,2500,79687,18,500,1,7474,1
204,37348,0,2500,2500,2500,0,0,0,0,7472,2
205,51468,0,2500,2500,2500,2278,9,0,0,7460,2
206,95989,0,50000,2500,2500,92159,30,1329,4,7518,1
207,23184,1250,2500,2500,2500,3694,12,1150,3,7467,2
208,27381,0,17500,2500,2500,18009,18,0,0,7524,2
209,6854,0,2500,2500,2500,0,0,0,0,7467,2
210,201346,0,50000,2500,2500,99612,34,600,4,7463,1
211,31588,0,2500,2500,2500,2947,8,0,0,7463,2
212,204582,0,2500,2500,2500,4671,14,0,0,7498,2
213,8298,0,17500,2500,2500,20087,15,0,0,7498,2
214,10097,0,2500,2500,2500,2700,1,2700,1,7498,2
215,114356,0,32500,2500,2500,27308,14,0,0,7456,1
216,1344,0,2500,2500,2500,1134,9,0,0,7498,2
217,59797,0,2500,2500,2500,7069,4,0,0,7444,2
218,189053,0,17500,2500,2500,24156,22,0,0,7439,2
219,143481,0,32500,2500,2500,45891,15,0,0,7437,1
220,1302051,2706,50000,2500,2500,90653,32,3050,7,7467,1
221,229744,0,50000,2500,2500,68754,35,550,2,7467,1
222,75039,0,2500,2500,2500,2750,10,250,1,7435,2
223,20203,0,2500,2500,2500,750,6,0,0,7467,2
224,193976,0,17500,2500,2500,10849,14,0,0,7416,2
225,98224,0,5000,2500,2500,5570,11,0,0,7467,2
226,117329,0,2500,5000,2500,6448,11,0,0,7416,2
227,119239,0,32500,2500,2500,36362,15,250,1,7467,1
228,53715,0,5000,2500,2500,7164,15,300,2,7416,2
229,153747,0,50000,2500,2500,58689,15,0,0,7409,1
230,133309,0,17500,2500,2500,23987,13,0,0,7415,2
231,81380,0,50000,2500,2500,56524,22,0,0,7404,1
232,22074,0,2500,2500,2500,6039,15,0,0,7404,2
233,24051,0,5000,2500,2500,8764,13,0,0,7395,2
234,11449,0,5000,2500,2500,9057,13,0,0,7397,2
235,182317,0,5000,2500,2500,19489,17,273,1,7397,2
236,46184,0,2500,2500,2500,3125,12,500,1,7388,2
237,285116,0,2500,2500,2500,8471,18,500,1,7406,2
238,30962,0,50000,2500,2500,97683,37,6400,18,7360,1
239,15525,0,2500,2500,2500,3853,6,0,0,7406,2
240,163530,0,50000,2500,2500,88987,25,0,0,7406,1
241,2075,0,5000,2500,2500,5002,14,0,0,7374,2
242,227881,0,32500,2500,2500,41186,13,0,0,7369,1
243,118934,0,50000,2500,2500,66222,37,2250,17,7354,1
244,468175,0,50000,2500,2500,141615,22,0,0,7348,1
245,12526,0,32500,2500,2500,56076,19,3850,11,7375,1
246,176090,0,2500,2500,2500,5300,9,2200,6,7344,2
247,15221,0,2500,2500,2500,4425,9,0,0,7361,2
248,92875,0,50000,2500,2500,60990,14,0,0,7344,1
249,88702,0,5000,2500,2500,9620,13,50,1,7406,2
250,62882,0,2500,2500,2500,1925,8,0,0,7375,2
251,30015,0,2500,2500,2500,5875,32,0,0,7341,2
252,87293,0,17500,2500,2500,21584,17,1050,2,7406,2
253,45225,0,17500,2500,2500,14711,15,0,0,7339,2
254,96098,0,2500,2500,2500,12500,4,0,0,7339,2
255,236274,0,50000,2500,2500,61515,12,0,0,7375,1
256,423540,0,2500,2500,2500,8534,14,2100,9,7375,2
257,25279,0,5000,2500,2500,14938,26,0,0,7327,2
258,198137,0,2500,2500,2500,6303,6,500,1,7323,2
259,402312,0,50000,2500,2500,77122,18,250,3,7375,1
260,149733,0,2500,2500,2500,605,3,500,1,7323,2
261,70730,0,2500,2500,2500,1319,12,0,0,7316,2
262,164613,0,5000,2500,2500,11095,13,0,0,7375,2
263,47557,0,5000,2500,2500,10267,18,200,3,7345,2
264,35065,0,2500,2500,2500,5400,5,1400,3,7311,2
265,105769,0,17500,2500,2500,23097,16,0,0,7345,2
266,35900,0,2500,2500,2500,0,0,0,0,7304,2
267,43088,0,2500,2500,2500,4000,1,0,0,7345,2
268,58703,0,32500,2500,2500,46473,34,950,4,7296,1
269,70354,0,50000,2500,2500,120907,22,0,0,7290,1
270,145726,0,17500,2500,2500,19019,15,0,0,7292,2
271,121639,0,50000,2500,2500,67286,7,0,0,7288,1
272,70676,0,50000,2500,2500,74993,15,0,0,7288,1
273,18263,0,2500,2500,2500,2100,4,1000,2,7285,2
274,51250,0,2500,2500,2500,0,0,0,0,7283,2
275,1704838,0,2500,2500,2500,17108,32,4823,23,7283,2
276,12895,0,2500,2500,2500,0,0,0,0,7277,2
277,120073,0,17500,2500,2500,12423,29,0,0,7276,2
278,2003,0,2500,2500,2500,980,2,0,0,7274,2
279,22652,0,50000,2500,2500,57642,14,0,0,7271,1
280,168515,0,2500,2500,2500,4600,4,0,0,7269,2
281,44873,0,32500,2500,2500,38740,18,850,2,7267,1
282,190542,1745,2500,2500,2500,8487,9,0,0,7267,2
283,156230,0,2500,2500,2500,5300,8,1300,5,7260,2
284,79211,0,32500,2500,2500,36776,14,0,0,7260,1
285,98006,0,32500,2500,2500,46349,20,2309,3,7332,1
286,33982,0,50000,2500,2500,68320,17,0,0,7255,1
287,62998,0,5000,2500,2500,11326,24,0,0,7253,2
288,137908,0,50000,2500,2500,57713,19,0,0,7250,1
289,45586,0,32500,2500,2500,37459,15,0,0,7246,1
290,568174,0,50000,2500,2500,67121,16,1000,2,7243,1
291,145993,0,50000,2500,2500,95082,17,500,1,7229,1
292,294881,0,50000,2500,2500,84800,20,0,0,7279,1
293,12195,0,2500,2500,2500,3875,17,0,0,7229,2
294,16622,0,2500,2500,2500,0,0,0,0,7229,2
295,141813,0,32500,2500,2500,39743,14,0,0,7254,1
296,58139,500,32500,2500,2500,38408,16,150,1,7227,1
297,238868,0,17500,2500,2500,20521,16,0,0,7220,2
298,149286,0,32500,2500,2500,42141,30,2400,13,7222,1
299,35945,0,2500,2500,2500,0,0,0,0,7220,2
300,28218,0,2500,2500,2500,750,4,750,4,7232,2
301,7061,0,2500,2500,2500,7100,12,0,0,7218,2
302,217846,0,32500,2500,2500,49198,20,0,0,7215,1
303,364387,0,32500,2500,2500,28200,27,0,0,7213,1
304,125465,0,17500,2500,2500,14750,9,0,0,7206,2
305,94222,0,32500,2500,2500,52081,24,0,0,7201,1
306,123370,0,2500,2500,2500,7478,16,0,0,7197,2
307,383030,2998,2500,2500,2500,8001,25,3226,15,7326,2
308,112969,0,5000,2500,2500,7572,7,0,0,7192,2
309,46430,0,2500,2500,2500,2100,4,500,1,7194,2
310,179433,0,32500,2500,2500,30476,15,0,0,7187,1
311,20746,0,32500,2500,2500,37534,17,0,0,7185,1
312,61455,0,32500,2500,2500,28765,17,0,0,7183,1
313,714717,0,50000,2500,2500,119162,20,1750,4,7183,1
314,179559,0,17500,2500,2500,17819,12,1000,2,7173,2
315,119977,2556,2500,2500,2500,9275,16,1400,4,7226,2
316,16928,0,2500,2500,2500,1000,1,0,0,7173,2
317,65316,0,2500,2500,2500,3917,10,0,0,7254,2
318,766419,0,2500,2500,2500,11398,3,398,1,7162,2
319,52060,0,2500,2500,2500,6500,3,0,0,7162,2
320,84700,0,17500,2500,2500,13544,17,0,0,7162,2
321,205523,0,17500,2500,2500,32404,20,1000,2,7159,2
322,20457,0,32500,2500,2500,51399,16,0,0,7193,1
323,278727,0,2500,2500,2500,21666,19,9166,16,7155,2
324,50325,0,17500,2500,2500,11930,14,0,0,7155,2
325,455228,0,2500,2500,2500,258,2,258,2,7141,2
326,73849,0,5000,2500,2500,11793,21,0,0,7250,2
327,388455,0,50000,2500,2500,114329,26,6078,8,7164,1
328,138999,0,50000,2500,2500,63738,29,600,4,7153,1
329,65573,0,2500,2500,2500,3875,23,0,0,7130,2
330,172288,0,50000,2500,2500,66879,10,0,0,7130,1
331,47958,0,2500,2500,2500,0,0,0,0,7130,2
332,133002,0,17500,2500,2500,15672,21,150,1,7117,2
333,42363,0,2500,2500,2500,0,0,0,0,7120,2
334,133370,0,32500,2500,2500,44299,18,0,0,7101,1
335,278457,6727,32500,2500,2500,57313,27,1000,2,7101,1
336,105166,1374,32500,2500,2500,37663,22,0,0,7120,1
337,34956,0,2500,2500,2500,0,0,0,0,7172,2
338,46963,0,2500,2500,2500,1500,5,0,0,7117,2
339,55788,0,17500,2500,2500,24831,12,0,0,7314,2
340,174910,0,32500,2500,2500,63960,20,200,1,7110,1
341,13812,0,5000,2500,2500,15149,39,0,0,7110,2
342,38718,0,2500,2500,2500,0,0,0,0,7314,2
343,112501,0,2500,2500,5000,19140,11,0,0,7101,2
344,54005,0,2500,2500,2500,1500,5,0,0,7099,2
345,66863,0,32500,2500,2500,36532,9,0,0,7099,1
346,93045,0,17500,2500,2500,17636,15,0,0,7092,2
347,197328,0,50000,2500,2500,60447,12,0,0,7092,1
348,151301,0,32500,2500,2500,37772,14,0,0,7092,1
349,87938,0,2500,2500,2500,11268,2,0,0,7085,2
350,15283,0,2500,2500,2500,1250,3,0,0,7132,2
351,105423,0,17500,2500,2500,20802,14,0,0,7078,2
352,312512,0,2500,2500,2500,100,1,100,1,7078,2
353,13680,0,2500,2500,2500,0,0,0,0,7073,2
354,41279,0,17500,2500,2500,14462,20,1650,6,7064,2
355,25313,0,5000,2500,2500,7491,13,0,0,7064,2
356,148691,0,2500,2500,2500,3000,3,1000,2,7064,2
357,224081,0,32500,2500,2500,40108,15,150,2,7059,1
358,51088,0,2500,2500,2500,0,0,0,0,7057,2
359,95305,0,2500,2500,2500,3189,13,0,0,7054,2
360,22080,0,2500,2500,2500,12200,47,1950,9,7050,2
361,11660,0,2500,2500,2500,140,1,0,0,7050,2
362,222227,0,32500,2500,2500,38127,14,500,1,7047,1
363,16200,0,2500,2500,2500,160,1,0,0,7043,2
364,38227,0,5000,2500,2500,8612,13,0,0,7036,2
365,80214,0,2500,2500,2500,500,1,500,1,7029,2
366,53985,0,2500,2500,2500,1000,1,0,0,7029,2
367,14414,0,2500,2500,2500,0,0,0,0,7024,2
368,44457,0,2500,2500,2500,225,3,0,0,7026,2
369,161813,0,50000,2500,2500,126941,20,0,0,7026,1
370,138020,0,2500,2500,2500,6568,15,0,0,7024,2
371,107707,0,17500,2500,2500,19407,25,2211,12,7024,2
372,95656,0,50000,2500,2500,62666,27,0,0,7019,1
373,149678,0,2500,2500,2500,0,0,0,0,7022,2
374,15113,0,5000,2500,2500,10574,19,0,0,7017,2
375,231,0,2500,2500,2500,29900,24,5300,15,7015,2
376,22380,0,2500,2500,2500,300,2,200,1,7010,2
377,146263,0,17500,2500,2500,20853,21,350,1,7001,2
378,24598,0,2500,2500,2500,0,0,0,0,7040,2
379,76150,0,32500,2500,2500,36907,17,0,0,6998,1
380,377252,0,50000,2500,2500,230629,30,6393,13,6996,1
381,167670,0,2500,17500,2500,15907,13,0,0,6994,2
382,86853,0,32500,2500,2500,42293,21,500,1,6980,1
383,479989,0,32500,2500,2500,66516,26,1600,6,6980,1
384,28193,0,50000,2500,32500,103456,32,0,0,6980,1
385,67086,0,17500,2500,2500,18157,16,0,0,6974,2
386,35969,0,5000,2500,2500,11665,21,0,0,6977,2
387,53790,0,32500,2500,2500,28717,19,0,0,8296,1
388,198859,0,17500,2500,2500,17855,14,500,1,8296,2
389,91939,0,2500,2500,2500,1244,8,0,0,8296,2
390,88449,0,5000,2500,2500,11402,18,1450,5,8296,2
391,54842,0,17500,2500,2500,20792,15,0,0,8296,2
392,11189,0,2500,5000,2500,9044,20,0,0,8296,2
393,16999,0,2500,2500,2500,140,1,0,0,8296,2
394,114713,0,2500,2500,2500,7142,18,0,0,8296,2
395,1612,0,2500,2500,2500,955,9,0,0,8296,2
396,97763,0,2500,2500,2500,2000,9,0,0,8296,2
397,15129,0,2500,2500,2500,0,0,0,0,8296,2
398,15669,0,2500,2500,2500,1205,4,0,0,8296,2
399,26720,0,2500,2500,2500,913,3,0,0,8296,2
400,205292,0,5000,2500,2500,5471,13,0,0,8296,2
401,56635,0,2500,2500,2500,1024,8,359,2,8296,2
402,127297,0,5000,2500,2500,8510,12,0,0,8296,2
403,8927,0,2500,2500,2500,0,0,0,0,8296,2
404,507506,1952,50000,2500,2500,102279,32,4485,13,8296,1
405,145723,0,50000,2500,2500,59858,16,0,0,8296,1
406,6458,0,2500,2500,2500,0,0,0,0,8296,2
407,267640,0,2500,2500,2500,6000,3,0,0,8296,2
408,5581,0,2500,2500,2500,0,0,0,0,8296,2
409,10732,0,2500,2500,2500,1296,6,0,0,8296,2
410,620498,0,50000,2500,2500,25395,53,1750,14,8296,1
411,68963,0,32500,2500,2500,37723,15,0,0,8296,1
412,109640,0,32500,2500,2500,66983,38,5500,17,8296,1
413,225802,0,50000,2500,2500,74340,16,200,2,8296,1
414,58452,0,2500,2500,2500,0,0,0,0,8296,2
415,109087,0,5000,2500,2500,10462,16,0,0,8296,2
416,68286,0,17500,2500,2500,22831,13,0,0,8296,2
417,68464,0,2500,2500,2500,240,3,0,0,8296,2
418,131960,2000,17500,2500,2500,16081,8,0,0,8296,2
419,199956,1178,2500,2500,2500,0,0,0,0,8296,2
420,529886,7210,2500,2500,2500,23866,26,7741,15,8296,2
421,23529,0,2500,2500,2500,500,1,0,0,8296,2
422,190295,0,32500,2500,2500,3501,15,0,0,8296,1
423,21083,0,50000,2500,2500,129330,16,1000,2,8296,1
424,117860,0,50000,2500,2500,62758,15,0,0,8296,1
425,118844,0,32500,2500,2500,28731,17,400,2,8289,1
426,60493,0,2500,2500,2500,9000,1,0,0,8289,2
427,491987,0,50000,2500,2500,68007,23,700,2,8289,1
428,87692,0,2500,2500,2500,2310,6,500,1,8289,2
429,78028,0,32500,2500,2500,36269,24,0,0,8289,1
430,251286,0,2500,2500,2500,0,0,0,0,8289,2
431,17575,0,2500,2500,2500,0,0,0,0,8289,2
432,50431,0,2500,2500,2500,1000,1,0,0,8289,2
433,153597,0,50000,2500,2500,56567,18,0,0,8289,1
434,74579,0,2500,2500,2500,4600,11,600,8,8289,2
435,2494,0,2500,2500,2500,0,0,0,0,8289,2
436,96031,0,32500,2500,2500,46588,21,0,0,8289,1
437,353678,0,32500,2500,2500,141230,28,1450,5,8289,1
438,50052,0,32500,2500,2500,49383,13,0,0,8289,1
439,13381,0,2500,2500,2500,1000,8,0,0,8289,2
440,25123,0,2500,2500,2500,2030,6,0,0,8289,2
441,132555,0,17500,2500,2500,24775,31,350,1,8289,2
442,14528,0,2500,2500,2500,6000,7,3000,6,8289,2
443,24038,0,5000,2500,2500,6290,14,0,0,8289,2
444,192104,0,17500,2500,2500,39010,53,1750,8,8289,2
445,106773,0,2500,2500,2500,12900,10,1400,8,8289,2
446,229397,0,17500,2500,2500,22873,13,0,0,8289,2
447,14732,0,2500,2500,2500,100,1,0,0,8289,2
448,383129,0,17500,2500,2500,23608,16,500,1,8289,2
449,11431,0,2500,2500,2500,1759,4,759,3,8289,2
450,175461,0,32500,2500,2500,40997,14,0,0,8289,1
451,52953,0,2500,2500,2500,500,1,0,0,8289,2
452,182291,0,17500,2500,2500,24155,22,0,0,8289,2
453,198317,0,50000,2500,2500,61714,16,0,0,8289,1
454,49053,0,2500,2500,2500,6498,18,950,5,8289,2
455,22772,0,2500,2500,2500,0,0,0,0,8289,2
456,34170,0,17500,2500,2500,15476,20,150,1,8289,2
457,158483,0,5000,2500,2500,9018,11,0,0,8289,2
458,43285,0,32500,2500,2500,28613,14,0,0,8252,1
459,52980,0,17500,2500,2500,17078,14,0,0,8237,2
